,incode1,count,count_perc,ALC_perc,,
618,1ZZ35CAJ2,10,0,10,,
619,1ZZ35YA1C,10,0,30,,
620,2ZZ02ZU,10,0,20,,
621,3KT30DC,10,0,0,,
622,3NM10VN,10,0,0,,
623,3NZ10VN,10,0,0,,
624,3PZ10VA,10,0,0,,
625,6AA10AD,10,0,0,,
626,1BS11HAP1,9,0,33.33,,
627,1BT35HAP1,9,0,22.22,,
628,1GE52CATJ,9,0,22.22,,
629,1GV52DA,9,0,0,,
630,1HZ09LAJF,9,0,11.11,,
631,1JD09JJ,9,0,11.11,,
632,1LZ35HHC5,9,0,0,,
633,1OD54HATS,9,0,11.11,,
634,1OT52DATS,9,0,11.11,,
635,1PM35CAD1,9,0,0,,
636,1VG35HAJ2,9,0,33.33,,
637,1VX52HA,9,0,22.22,,
638,1VX59LAGX,9,0,0,,
639,1YS14JAGN,9,0,0,,
640,1YS55JAFF,9,0,22.22,,
641,1YS80JAFF,9,0,22.22,,
642,1YT14JAH1,9,0,44.44,,
643,1YV14JAH1,9,0,33.33,,
644,2HZ07NK,9,0,11.11,,
645,2HZ24GPKJ,9,0,11.11,,
646,2WY71HA,9,0,22.22,,
647,2YT71HA,9,0,0,,
648,3FE10AS,9,0,0,,
649,3IP70KG,9,0,0,,
650,3JX40WC,9,0,22.22,,
651,3KQ30DA,9,0,0,,
652,3KY30DD,9,0,0,,
653,1AC52MBSJ,8,0,25,,
654,1CJ52HA,8,0,12.5,,
655,1DE57CAZ9,8,0,0,,
656,1FJ80LA,8,0,0,,
657,1GT52HA,8,0,0,,
658,1KE51GQW0,8,0,12.5,,
659,1OW73CJ,8,0,0,,
660,1PE54DANR,8,0,12.5,,
661,1PM52JA,8,0,0,,
662,1UF73JA,8,0,37.5,,
663,1VC03JAFQ,8,0,50,,
664,1WM73JA,8,0,25,,
665,1YA52LA,8,0,0,,
666,1YM52LA,8,0,0,,
667,1YS52JA,8,0,12.5,,
668,1YV80LAW4,8,0,12.5,,
669,1ZZ35CAA2,8,0,0,,
670,1ZZ35HAT2,8,0,0,,
671,2NA71BA,8,0,0,,
672,2NK70DA,8,0,0,,
673,2NK71BABL,8,0,12.5,,
674,3EY20WC,8,0,0,,
675,3IP20WA,8,0,12.5,,
